id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
157,Skip Barber Formula 2000,Skip Barber Formula 2000,1,Skip Barber Formula 2000,Iracing,Sports Car,,No,rt2000,1,
158,,Sprint Car,,,Iracing,,,No,sprint,N/A,
159,Stock Car Brasil,Stock Car Pro Series Chevrolet Cruze,3245,,Iracing,,,No,stockcarbrasil\cruze,151,
160,Stock Car Brasil,Stock Car Pro Series Toyota Corolla,3245,,Iracing,,,No,stockcarbrasil\corolla,152,
161,Street Stock,Street Stock - Casino,4064,Street Stock - Casino,Iracing,Oval,,No,streetstock\streetstock2,186,
162,Street Stock,Street Stock - Eagle,4064,Street Stock - Eagle,Iracing,Oval,,No,streetstock\streetstock3,187,
163,,Subaru WRX STI,,,Iracing,,,No,subaruwrxsti,N/A,
164,,Super Dirt Late Model,,,Iracing,,,No,dirtlatemodel\438,N/A,
165,Super Formula Lights,Super Formula Lights,4049,Super Formula Lights,Iracing,Open Wheel,,No,superformulalights324,178,
166,SF23,Super Formula SF23 - Honda,4033,Super Formula SF23 - Honda,Iracing,Open Wheel,,No,superformulasf23\honda,172,
167,SF23,Super Formula SF23 - Toyota,4033,Super Formula SF23 - Toyota,Iracing,Open Wheel,,No,superformulasf23\toyota,171,
168,Super Late Model,Super Late Model,60,Super Late Model,Iracing,Oval,,No,superlatemodel,54,
169,Super Car Gen 3,Supercars Ford Mustang Gen 3,4076,,Iracing,,,No,supercars\fordmustanggen3,190,
170,Super Car Gen 3,Supercars Chevrolet Camaro Gen 3,4076,,Iracing,,,No,supercars\chevycamarogen3,192,
171,Supercar 2019,Supercars Ford Mustang GT,1615,,Iracing,,,No,v8supercars\fordmustanggt,118,
172,Supercar 2019,Supercars Holden ZB Commodore,1615,,Iracing,,,No,v8supercars\holden2019,117,
173,USF 2000,USF 2000,2266,,Iracing,,,No,usf2000usf17,121,
174,,VW Beetle,,,Iracing,,,No,vwbeetlegrc,N/A,
175,,VW Beetle Lite,,,Iracing,,,No,vwbeetlegrc\lite,N/A,
176,VW Jetta TDI Cup,VW Jetta TDI Cup,24,,Iracing,,,No,jettatdi,27,
177,Williams FW31,Williams FW31,30,,Iracing,,,No,williamsfw31,33,
178,NASCAR Truck,NASCAR Truck Ram,71,NASCAR Truck Ram,Iracing,Oval,,No,trucks\ram2026,211,
179,BMW M2 Racing (G87),BMW M2 Racing ,4102,BMW M2 Racing,Iracing,Sports Car,,Yes,bmwm2g87,216,
